file_id,record_id
306,6
306,11
306,20
306,28
306,29
306,30
306,34
306,41
307,3
307,7
307,11
307,14
307,15
307,18
307,25
307,40
308,6
308,15
308,27
308,32
308,34
308,42
310,1
310,16
310,26
311,6
311,11
311,22
311,32
311,35
311,36
312,8
312,9
312,18
312,35
312,37
312,39
313,13
313,14
313,16
313,22
313,31
314,0
314,8
314,15
316,0
316,2
316,5
316,7
316,11
316,13
316,15
316,20
316,21
316,23
316,24
316,26
316,29
316,31
316,33
317,0
317,2
317,3
317,8
317,27
317,34
319,1
319,11
319,12
319,30
319,31
319,33
320,0
320,11
320,12
320,14
320,19
320,22
320,27
320,31
321,1
321,10
321,14
321,15
321,17
321,22
321,24
321,34
322,4
322,11
322,12
322,18
322,23
322,25
322,32
322,35
323,2
323,7
323,17
323,19
323,31
323,40
324,9
324,26
325,19
325,26
325,28
325,32
325,37
326,3
326,18
326,45
326,46
326,53
327,6
327,9
327,10
327,15
327,20
327,36
328,0
328,4
328,16
328,22
328,30
329,3
329,12
329,35
330,0
330,1
330,4
330,14
330,15
330,19
330,48
330,50
330,51
331,0
331,14
331,28
331,31
331,32
331,34
331,37
332,6
332,22
332,36
332,37
333,0
333,1
333,3
333,4
333,8
333,11
333,29
334,7
334,9
334,15
334,16
334,17
334,33
335,4
335,14
335,18
335,32
335,36
336,0
336,2
336,28
336,31
336,35
336,43
337,3
337,6
337,7
337,16
338,4
338,6
338,11
338,15
338,25
338,29
338,31
338,35
339,1
339,2
339,12
339,13
340,0
340,4
340,6
340,10
340,12
340,17
340,22
340,27
340,28
340,30
341,0
341,3
341,7
341,9
341,17
341,22
341,27
341,34
342,9
342,11
342,17
342,22
342,31
343,26
343,34
343,36
344,2
344,4
344,5
344,8
344,16
344,39
344,40
345,5
345,9
345,21
345,27
347,4
347,5
347,9
347,12
347,13
347,14
347,18
348,7
348,9
348,13
348,28
348,32
348,33
348,40
349,6
349,7
349,10
349,11
349,16
349,33
351,9
351,10
351,19
351,25
351,29
351,30
351,38
352,4
352,13
352,15
352,27
352,28
352,32
352,33
353,4
353,7
353,16
353,18
353,19
353,30
353,31
353,41
353,42
355,8
355,14
355,19
355,22
355,29
355,44
356,19
356,32
356,35
357,3
357,15
357,26
357,32
357,34
357,35
358,8
358,18
358,19
358,28
358,29
358,31
358,32
359,3
359,5
359,8
359,10
359,12
360,1
360,9
360,20
360,21
360,23
360,25
360,26
360,32
360,34
361,5
361,22
361,29
361,30
361,40
362,6
362,7
362,22
362,25
362,36
363,1
363,4
363,6
363,14
363,40
365,8
365,27
365,36
366,4
366,7
366,14
366,16
366,23
366,34
366,35
367,1
367,4
367,6
367,7
367,11
367,14
367,25
367,30
367,32
368,7
368,9
368,27
368,30
368,33
369,25
369,27
369,28
369,33
369,34
369,36
369,38
369,48
370,0
370,16
370,26
370,41
371,1
371,7
371,11
371,15
371,18
371,26
372,4
372,18
372,25
372,30
373,0
373,18
373,20
373,25
375,0
375,1
375,5
375,7
375,9
375,11
375,32
375,37
376,15
376,16
376,18
376,29
377,8
377,14
377,18
377,22
377,25
377,43
377,44
378,5
378,6
378,9
378,12
378,17
378,26
379,8
379,9
379,10
379,18
379,20
379,23
379,32
379,33
380,3
380,11
380,35
380,39
380,41
381,1
381,2
381,4
381,7
381,12
381,15
381,21
381,30
381,33
382,3
382,7
382,12
382,15
382,24
382,29
382,32
382,36
382,39
382,46
383,1
383,2
383,14
383,15
383,17
383,29
383,34
383,37
384,1
384,10
384,16
384,29
384,33
384,37
384,39
384,41
385,3
385,4
385,6
385,10
385,25
385,29
386,13
386,22
386,25
386,41
387,3
387,6
387,19
387,20
387,22
387,32
388,1
388,5
388,19
388,21
388,22
388,23
388,29
389,5
389,19
389,20
389,29
389,43
390,1
390,4
390,6
390,8
390,20
390,25
390,32
391,1
391,10
391,12
391,13
391,19
391,25
391,27
391,33
392,2
392,9
392,10
392,15
392,18
392,25
392,29
392,31
392,33
393,4
393,10
393,12
393,15
393,17
393,18
393,20
393,28
393,30
393,32
393,37
394,8
394,19
394,23
394,25
394,28
395,4
395,6
395,10
395,14
395,15
396,8
396,12
396,29
396,41
396,42
396,43
397,7
397,11
397,15
397,26
397,28
397,32
397,35
398,0
398,8
398,12
398,20
398,38
398,40
398,41
398,42
399,4
399,15
399,16
399,19
399,32
400,2
400,16
400,19
400,31
400,43
400,46
401,3
401,4
401,5
401,6
401,10
401,13
401,23
401,24
401,26
401,28
402,1
402,10
402,15
402,28
402,33
402,35
403,3
403,6
403,7
403,18
403,23
403,29
405,3
405,11
405,12
405,15
405,26
405,27
405,41
405,45
406,2
406,4
406,6
406,23
406,25
406,32
406,33
407,2
407,7
407,11
407,18
407,23
407,26
407,31
407,32
407,33
408,8
408,10
408,14
408,17
408,18
408,19
408,36
409,3
409,7
409,9
409,15
409,39
409,41
409,46
409,50
409,56
409,59
410,1
410,2
410,6
410,18
410,23
410,24
410,28
410,29
410,33
410,37
411,1
411,2
411,7
411,15
411,35
411,39
412,5
412,13
412,30
412,37
413,4
413,10
413,13
413,20
413,23
413,28
413,33
414,5
414,6
414,21
414,29
414,32
414,41
415,8
415,17
415,25
415,26
415,46
417,0
417,2
417,6
417,12
417,13
417,30
417,44
418,1
418,4
418,5
418,7
418,10
418,14
418,18
418,20
418,23
418,26
419,0
419,23
419,24
419,27
419,37
419,38
420,2
420,16
420,35
420,40
420,41
421,3
421,7
421,10
421,31
421,36
421,40
421,41
421,43
422,9
422,10
422,11
422,12
422,15
422,18
422,31
423,2
423,7
423,17
423,20
423,23
423,27
423,29
423,31
423,33
424,6
424,13
424,16
424,22
424,33
424,34
425,4
425,28
425,40
425,46
426,32
426,46
426,47
427,1
427,7
427,8
427,14
427,18
427,19
427,28
427,32
427,45
428,6
428,9
428,14
428,15
428,16
428,17
428,19
428,37
429,3
429,6
429,10
429,21
429,25
429,26
429,32
430,9
430,12
430,17
430,19
430,23
430,28
430,33
431,5
431,9
431,10
431,13
431,19
431,28
431,30
431,32
432,14
432,20
432,23
432,30
432,31
432,37
432,42
433,4
433,9
433,14
433,15
433,18
433,23
433,27
433,30
433,32
435,20
435,21
435,38
436,3
436,4
436,5
436,9
436,11
436,12
436,19
436,27
436,31
437,3
437,9
437,16
437,17
437,26
437,28
437,31
438,4
438,5
438,13
438,15
438,17
438,20
438,29
438,36
438,37
438,38
438,40
439,0
439,5
439,14
439,33
439,41
439,47
440,0
440,21
440,22
440,28
440,32
441,3
441,20
441,21
441,26
441,27
442,3
442,6
442,7
442,11
442,15
442,26
442,29
442,33
442,36
442,41
443,3
443,5
443,7
443,19
443,29
443,31
443,33
444,0
444,10
444,17
444,28
444,33
444,34
445,7
445,10
445,11
445,21
445,25
445,37
446,4
446,8
446,10
446,26
446,41
446,45
448,12
448,22
449,2
449,18
449,19
449,31
449,32
449,39
450,6
450,20
450,44
450,50
450,53
450,54
450,57
451,2
451,25
451,28
451,30
452,0
452,4
452,15
452,16
452,22
452,25
452,28
452,29
453,3
453,17
453,22
453,34
454,13
454,14
454,18
454,24
454,28
454,30
454,32
454,33
455,1
455,3
455,11
455,14
455,16
455,17
455,18
455,19
455,24
455,28
456,4
456,9
456,30
457,1
457,8
457,14
457,26
457,35
457,37
457,38
458,4
458,6
458,8
458,9
458,15
458,18
458,19
458,20
458,22
458,23
458,24
459,0
459,10
459,14
459,25
459,26
459,30
459,33
460,1
460,5
460,9
460,20
460,26
460,30
462,0
462,3
462,8
462,10
462,11
462,19
462,20
462,27
462,32
463,3
463,4
463,7
463,11
463,15
463,21
463,28
463,31
463,33
463,43
463,45
464,2
464,6
464,7
464,8
464,10
464,18
464,28
464,30
464,32
464,33
465,0
465,18
465,28
465,30
465,40
465,42
466,3
466,9
466,18
466,29
466,48
467,2
467,3
467,10
467,16
467,25
467,32
467,33
467,48
467,49
468,7
468,8
468,13
468,42
469,1
469,6
469,12
469,24
469,30
469,31
469,34
469,38
470,14
470,16
470,18
470,28
471,3
471,7
471,11
471,24
471,25
471,26
471,28
471,29
471,31
472,26
472,33
473,29
473,36
473,40
473,42
474,7
474,9
474,22
474,23
475,3
475,9
475,17
475,20
475,21
475,22
475,24
476,2
476,6
476,16
476,26
476,28
476,29
477,4
477,16
477,18
477,26
477,28
477,32
477,36
478,28
478,30
478,32
478,34
478,36
479,3
479,9
479,11
479,14
479,19
479,29
479,32
479,34
480,3
480,8
480,9
480,19
480,23
480,24
480,25
480,29
480,33
482,3
482,13
482,18
482,28
482,30
482,40
482,42
482,43
483,4
483,6
483,17
483,19
483,22
483,27
484,1
484,2
484,6
484,12
484,27
484,30
485,10
485,12
485,34
485,42
487,2
487,9
487,38
489,1
489,18
489,21
489,24
489,33
489,41
490,8
490,9
490,14
490,17
490,18
490,19
490,21
490,30
490,34
491,1
491,10
491,12
491,13
491,18
491,20
491,21
491,24
491,25
491,30
491,32
491,33
492,4
492,11
492,12
492,15
492,16
492,25
492,26
492,28
492,33
492,37
493,13
493,17
493,20
493,30
493,32
493,33
493,34
494,0
494,6
494,28
494,29
494,30
494,38
495,11
495,12
495,21
495,24
495,29
495,32
495,33
495,40
495,43
496,3
496,4
496,8
496,12
496,15
496,19
496,21
496,35
496,36
498,1
498,11
498,16
498,23
498,27
498,29
498,32
499,0
499,5
499,8
499,17
499,24
499,39
500,11
500,17
500,28
500,29
500,32
500,40
500,45
501,0
501,4
501,5
501,7
501,17
502,2
502,7
502,16
502,19
502,23
502,24
502,26
502,28
503,4
503,8
503,12
503,18
503,24
503,26
503,34
503,39
503,40
505,0
505,3
505,8
505,10
505,11
505,15
505,19
505,25
505,28
505,38
505,39
506,6
506,12
506,39
506,47
507,11
507,21
507,22
507,26
507,27
507,29
508,0
508,2
508,6
508,17
508,19
508,24
509,1
509,4
509,14
509,17
509,18
509,25
509,26
509,33
510,7
510,12
510,17
510,23
510,25
510,30
510,38
510,40
510,41
511,3
511,11
511,12
511,23
511,26
511,33
511,37
511,44
512,1
512,13
512,19
512,32
512,33
512,41
513,4
513,14
513,17
513,26
513,28
514,1
514,25
514,30
514,35
514,36
514,37
514,39
514,40
515,2
515,3
515,6
515,13
515,14
515,17
515,24
515,29
517,4
517,19
517,22
517,36
517,38
518,1
518,8
518,10
518,16
518,19
518,27
519,5
519,14
519,18
519,24
519,37
520,9
520,19
520,32
520,40
520,42
521,4
521,15
521,17
521,31
521,34
522,2
522,4
522,11
522,13
522,20
522,21
522,22
522,28
522,39
523,1
524,23
524,24
524,26
524,32
524,36
525,5
525,9
525,14
525,24
525,28
527,6
527,7
527,33
527,36
528,0
528,18
528,38
529,2
529,4
529,9
529,11
529,17
529,25
529,28
529,35
530,2
530,5
530,8
530,13
530,18
530,21
530,30
533,2
533,9
533,27
533,32
533,34
534,1
534,3
534,6
534,18
534,29
534,34
534,38
535,0
535,9
535,20
535,25
535,26
535,29
536,3
536,9
536,18
536,22
536,31
537,17
537,18
537,30
537,38
537,40
537,45
538,1
538,2
538,20
538,29
538,36
540,3
540,8
540,13
540,23
540,25
540,32
540,34
541,4
541,9
541,12
541,15
541,16
541,22
542,0
542,1
542,7
542,22
543,9
543,14
543,18
543,19
543,28
543,29
543,35
543,38
544,1
544,8
544,18
544,31
544,34
545,1
545,3
545,4
545,10
545,18
545,19
546,5
546,8
546,9
546,16
546,18
546,30
547,2
547,39
548,22
548,23
548,31
548,37
549,7
549,13
549,18
549,28
549,32
549,33
549,35
550,1
550,2
550,4
550,5
550,12
550,16
550,18
550,20
550,26
551,0
551,24
551,28
552,42
553,3
553,15
553,18
553,31
554,0
554,3
554,10
554,14
554,15
554,30
554,31
554,32
555,8
555,25
555,26
555,30
555,37
555,38
556,4
556,13
556,17
556,23
556,25
556,29
556,39
557,9
557,10
557,12
557,13
557,15
557,16
557,19
557,28
557,30
557,33
559,2
559,4
559,5
559,11
559,13
559,14
559,19
559,23
561,6
561,17
561,30
561,32
561,44
562,2
562,7
562,29
563,1
563,10
563,16
563,33
564,6
564,11
564,14
564,16
564,17
564,20
564,22
564,27
566,1
566,16
566,28
566,34
566,35
566,44
566,46
567,5
567,7
567,8
567,13
567,16
567,20
567,32
567,33
567,35
567,36
568,1
568,5
568,25
569,4
569,8
569,18
569,36
570,14
570,16
570,17
570,20
570,31
571,8
571,16
571,30
571,31
571,33
571,34
571,36
571,37
572,3
572,7
